Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Iran, Islamic Rep.",IRN,Consumer price index (2010 = 100),FP.CPI.TOTL,160.716937290151,219.54421493168,256.002941860307,287.964093938751,308.828317801683,333.673322422363,393.781629583152,550.929425291206,719.481539670071,1031.65750196386,1480.30950510605,2140.21942916994
"Iran, Islamic Rep.",IRN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,12175.5472222222,18414.4480100374,25941.6641445972,29011.491377053,30914.8524362967,33226.2981524127,40864.329009777,42000,42000,42000,42000,42000
"Iran, Islamic Rep.",IRN,Real effective exchange rate index (2010 = 100),PX.REX.REER,126.742033375891,123.458254517935,91.7820670980695,97.7993446385492,100.245038981322,101.288320190124,116.414754095657,128.700547635426,167.312485528664,230.05747853625,334.853458454126,477.404982465212
"Iran, Islamic Rep.",IRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5180.08602726727,5027.48471728532,5178.90070655187,4990.93679541655,5332.1010318135,5401.45593675503,5233.28205397474,5017.11721517534,5141.08477649301,5344.95802474488,5507.53339500769,5739.9439512132
"Iran, Islamic Rep.",IRN,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.0924641103414115,0.0884480594258712,0.110492669084283,0.178562510166327,0.45495791873281,0.100660379102076,0.0584825537027365,0.117730611948614,0.137089752085204,0.095916452816532,0.0681341420988239,..
Israel,ISR,Consumer price index (2010 = 100),FP.CPI.TOTL,105.22267590922,106.87494065141,107.387712467952,106.741999810084,106.1532617985,106.428639255531,107.273763175387,108.185357515905,107.520653309277,109.144430728326,113.939796790428,118.754154401291
Israel,ISR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.85592182539682,3.61075833333333,3.577925,3.88683333333333,3.84056666666667,3.59955554812834,3.59055812689938,3.56452734661093,3.44240585198792,3.23019832251082,3.35961440158189,3.6673747160226
Israel,ISR,Real effective exchange rate index (2010 = 100),PX.REX.REER,95.9814042478049,102.339848093543,103.172693335191,101.838323600102,103.522002738373,108.443692128522,106.282401009096,109.15490978266,111.488060393319,114.339176897481,114.74959847371,106.02349226146
Israel,ISR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34491.1601071181,35348.3068537152,36035.2577522884,36206.5222171621,37109.0218162488,37953.0404593554,38744.1604404811,39591.3687578516,38176.7543372587,40772.9704864616,42710.7782216294,42674.3002343717
Israel,ISR,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Jordan,JOR,Consumer price index (2010 = 100),FP.CPI.TOTL,108.86561499113,114.11797064643,117.426797297677,116.397138828916,115.491068042148,119.329869272798,124.654739256782,125.604002606804,126.022633651656,127.719016475095,133.120452526249,135.895840722819
Jordan,JOR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
Jordan,JOR,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..
Jordan,JOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4920.86517893078,4732.38722080538,4348.23665884969,4064.25301043642,3949.61078519413,3947.97166966641,3929.68718472936,3909.25001726642,3784.76252307437,3845.8569750687,3891.21222579832,3974.95939367124
Jordan,JOR,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,3.02349000557529,2.71746117793958,3.65063908872375,5.50550289790124,6.19467771251991,4.50681294218286,5.21585851579098,7.52902356808619,7.13215457244622,6.87846937993996,9.53628947008558,..
Lebanon,LBN,Consumer price index (2010 = 100),FP.CPI.TOTL,111.88015725734,117.273921525802,119.448888615649,114.970576284332,114.069943209824,118.999307190905,126.230882092859,130.024611761339,240.369131329817,612.355015021184,1660.74042721277,5336.65059176616
Lebanon,LBN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,..
Lebanon,LBN,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9019.69822923935,8539.56607828988,7921.0802355822,7802.75136769776,8101.70966835667,8374.74035900031,8435.63735402702,8081.74334362085,6485.72603986915,6107.45470909137,6183.24391454255,..
Lebanon,LBN,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,28.2461158528765,26.2604319989154,28.2208075983558,28.4401948822263,30.1185408208033,31.2180706705081,30.6094409647177,36.7866418926421,41.9640231975961,33.7756781558673,20.9402536851583,..
Syrian Arab Republic,SYR,Consumer price index (2010 = 100),FP.CPI.TOTL,143.199979473582,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,SYR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,64.5808333333333,108.733333333333,154.13,237.029166666667,460.275833333333,492.610833333333,436.5,436.5,877.945250896057,1256,2505.74691085873,..
Syrian Arab Republic,SYR,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,SYR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1150.08203011645,891.368635934704,856.166233920089,857.417884760688,812.690278508957,805.999576294994,802.430209355374,781.318333469391,754.575939265083,744.604884868047,..,..
Syrian Arab Republic,SYR,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.00184406130360498,0.00434224854042336,0.00102880336103611,0.00360249411416179,0.00312941292668712,0.00331476840009297,0.0974874198156518,0.0207533397972278,0.0116869525737083,0.00509551203903642,..,..
West Bank and Gaza,PSE,Consumer price index (2010 = 100),FP.CPI.TOTL,105.736292389859,107.559608314025,109.423600300128,110.990121099896,110.746934413771,110.982350206885,110.765815014162,112.516117965437,111.688750943651,113.070878047339,117.301112781727,124.18798049845
West Bank and Gaza,PSE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,PSE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3237.91619995789,3309.63120243098,3227.84934482645,3272.15432360708,3483.09903532972,3462.97986107136,3417.79440837962,3378.4346209191,2922.46801084844,3051.48607007995,3099.9609010368,2859.91937318215
West Bank and Gaza,PSE,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/19/2024,,,,,,,,,,,,,,,
